dataset,iteration,run,mae,cost
7x,20,18,4.381836891174316,55168704
7x,20,19,6.463360786437988,54030528
7x,20,20,3.633793592453003,54752832
7x,20,21,5.146711826324463,54408096
7x,20,22,2.767890453338623,54900576
7x,20,23,4.222601413726807,54194688
7x,20,24,8.824155807495117,54747360
7x,20,25,6.132891654968262,53992224
7x,20,26,6.294519424438477,54358848
7x,20,27,2.803471565246582,54654336
7x,20,28,3.142638683319092,54725472
7x,20,29,6.066235542297363,54555840
7x,25,0,1.3444937467575073,68442624
7x,25,1,5.017120361328125,68532480
7x,25,2,4.125564098358154,69320448
7x,25,3,5.535277366638184,68297472
7x,25,4,5.98256778717041,68525568
7x,25,5,3.2844340801239014,69196032
7x,25,6,6.256950378417969,69907968
7x,25,7,6.705458164215088,69341184
7x,25,8,2.3009440898895264,68000256
7x,25,9,6.661698818206787,68788224
7x,25,10,3.824779987335205,68394240
7x,25,11,7.314709663391113,69811200
7x,25,12,4.93220329284668,68878080
7x,25,13,5.642053127288818,69907968
7x,25,14,5.159131050109863,70384896
7x,25,15,5.774971961975098,69389568
7x,25,16,6.903704643249512,69355008
7x,25,17,6.969125270843506,69306624
7x,25,18,4.175784111022949,69251328
7x,25,19,3.1987621784210205,69223680
7x,25,20,6.084573268890381,69078528
7x,25,21,6.464977264404297,69285888
7x,25,22,2.71268892288208,69154560
7x,25,23,8.694646835327148,69071616
7x,25,24,2.2933216094970703,69562368
7x,25,25,6.181002616882324,69852672
7x,25,26,4.1461896896362305,69424128
7x,25,27,5.256688117980957,70219008
7x,25,28,6.295962333679199,67896576
7x,25,29,5.19835901260376,67633920
7x,30,0,7.4614362716674805,82534464
7x,30,1,6.927464962005615,83728800
7x,30,2,2.2033450603485107,83286144
7x,30,3,4.70774507522583,84288384
7x,30,4,3.5199012756347656,83319552
7x,30,5,9.494848251342773,83453184
7x,30,6,3.168570041656494,83419776
7x,30,7,3.5539402961730957,84021120
7x,30,8,4.402260780334473,84004416
7x,30,9,6.064878940582275,81632448
7x,30,10,3.2573673725128174,82668096
7x,30,11,3.981067180633545,83294496
7x,30,12,1.9674055576324463,83386368
7x,30,13,5.1385178565979,84154752
7x,30,14,3.7525298595428467,82567872
7x,30,15,5.449873924255371,84263328
7x,30,16,5.341435432434082,82860192
7x,30,17,3.450702667236328,83185920
7x,30,18,5.580782890319824,83486592
7x,30,19,8.417442321777344,83611872
7x,30,20,6.556375980377197,83018880
7x,30,21,3.5421805381774902,82927008
7x,30,22,2.8438801765441895,82192032
7x,30,23,6.881779670715332,84639168
7x,30,24,3.2317326068878174,82292256
7x,30,25,4.195420265197754,82684800
7x,30,26,4.995457649230957,83787264
7x,30,27,2.7844479084014893,83444832
7x,30,28,5.663936138153076,82893600
7x,30,29,6.97487735748291,84497184
7x,35,0,3.0928425788879395,99202752
7x,35,1,3.4309616088867188,97949376
7x,35,2,3.5596683025360107,98507520
7x,35,3,5.141061305999756,100113408
7x,35,4,2.5297975540161133,99849024
7x,35,5,5.591738224029541,98566272
7x,35,6,6.865581512451172,96970176
7x,35,7,4.942597389221191,97410816
7x,35,8,5.747196197509766,97959168
7x,35,9,2.0274834632873535,97861248
7x,35,10,3.352019786834717,97880832
7x,35,11,5.352161407470703,98948160
7x,35,12,4.399173736572266,98458560
7x,35,13,2.3688039779663086,98556480
7x,35,14,5.994279384613037,99153792
7x,35,15,3.4152965545654297,96314112
7x,35,16,2.2839035987854004,98654400
7x,35,17,6.1231184005737305,99173376
7x,35,18,2.097877025604248,98184384
7x,35,19,3.1469693183898926,98321472
7x,35,20,2.3976736068725586,97861248
7x,35,21,1.8968271017074585,96343488
7x,35,22,3.0137758255004883,98164800
7x,35,23,8.01303768157959,97352064
7x,35,24,2.4590797424316406,96705792
7x,35,25,3.7988247871398926,98585856
7x,35,26,5.624327659606934,97449984
7x,35,27,5.5952019691467285,97293312
7x,35,28,8.36306381225586,98243136
7x,35,29,6.184008598327637,96245568
7x,40,0,4.159482479095459,112252608
7x,40,1,2.3461194038391113,112600800
7x,40,2,6.161287307739258,113555520
7x,40,3,5.748322486877441,111870720
7x,40,4,3.0806732177734375,113375808
7x,40,5,6.109663963317871,112297536
